# mapping_set_id: https://w3id.org/cdif/xas/crosswalk/cdifxas-to-nexus
# mapping_set_title: CDIF XAS concepts to NeXus concept paths (all detection modes)
# mapping_set_description: One of two bindings onto the CDIF XAS concept hub. Object IRIs are PROVISIONAL: the NeXusOntology PURLs do not resolve (domain unregistered) and an open PR renames every IRI, so paths are minted under CDIF w3id on a mint-now, redirect-later basis. Mappings target NeXus BASE classes wherever the concept is a property of a kind of thing rather than a requirement of the technique.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/smrgeoinfo/XAS-CDIF
# creator_id:
#   - orcid:0000-0001-6041-5302
# mapping_tool: crosswalk/build_crosswalk.py
# subject_source: https://w3id.org/cdif/xas/
# object_source: https://github.com/XraySpectroscopy/nexus_definitions@main
# object_source_note: Resolvable documentation: https://manual.nexusformat.org/classes/
# curie_map:
#   cdifxas: https://w3id.org/cdif/xas/
#   xdi: https://w3id.org/cdif/xdi/
#   nxdl: https://w3id.org/cdif/nxdl/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	comment
cdifxas:electronyieldintensity	electronyieldintensity	skos:exactMatch	nxdl:NXxas_pey/ENTRY:NXentry/INSTRUMENT:NXinstrument/iey:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Electron yield above the kinetic-energy threshold.
cdifxas:retardingvoltage	retardingvoltage	skos:exactMatch	nxdl:NXxas_pey/ENTRY:NXentry/INSTRUMENT:NXinstrument/iey:NXdetector/retarding_voltage	retarding_voltage	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Bias selecting electrons above a kinetic energy threshold. The distinguishing parameter of PEY versus TEY.
cdifxas:incidentintensity	incidentintensity	skos:exactMatch	nxdl:NXxas_pey/ENTRY:NXentry/INSTRUMENT:NXinstrument/i0:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Incident beam intensity.
cdifxas:xasmeasurementmode	xasmeasurementmode	skos:narrowMatch	nxdl:NXxas_pfy	NXxas_pfy	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Detection mode as application definition.
cdifxas:emissionline	emissionline	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/LINE_emission_line:NXemission_line/name	name	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Selected emission line; 432-value enumeration imported as cdifxas:XAS_EmissionLines.
cdifxas:emissionenergywindow	emissionenergywindow	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/emission_energy_window	emission_energy_window	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Lower and upper bounds of the accepted emission energy range.
cdifxas:fluorescenceintensity	fluorescenceintensity	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/INSTRUMENT:NXinstrument/ifluor:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Fluorescence intensity within the selected window.
cdifxas:deadtime	deadtime	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/INSTRUMENT:NXinstrument/ifluor:NXdetector/dead_time	dead_time	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Detector dead time per energy point.
cdifxas:counttime	counttime	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/INSTRUMENT:NXinstrument/ifluor:NXdetector/count_time	count_time	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Detector live time per energy point.
cdifxas:incidentintensity	incidentintensity	skos:exactMatch	nxdl:NXxas_pfy/ENTRY:NXentry/INSTRUMENT:NXinstrument/i0:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Incident beam intensity.
cdifxas:xasmeasurementmode	xasmeasurementmode	skos:narrowMatch	nxdl:NXxas_herfd	NXxas_herfd	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Detection mode as application definition.
cdifxas:emissionline	emissionline	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/emission_line:NXemission_line/name	name	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Selected emission line. Note the group name differs from NXxas_pfy's LINE_emission_line -- a parser must not assume one spelling.
cdifxas:emissionenergy	emissionenergy	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/emission_energy	emission_energy	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Emission energy the spectrometer is set to.
cdifxas:analyzercrystal	analyzercrystal	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal	analyzerCRYSTAL:NXcrystal	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	The energy-analyzing crystal, distinct from the monochromator crystal that selects incident energy.
cdifxas:braggangle	braggangle	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/bragg_angle	bragg_angle	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Bragg angle of the nominal reflection.
cdifxas:bendingradius	bendingradius	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/bending_radius	bending_radius	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Bending radius; twice the Rowland radius in Johann geometry.
cdifxas:rowlandradius	rowlandradius	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/rowland_radius	rowland_radius	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Radius of the Rowland circle.
cdifxas:analyzergeometry	analyzergeometry	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/geometry_type	geometry_type	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Johann or Johansson.
cdifxas:analyzerdiameter	analyzerdiameter	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/diameter	diameter	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Crystal analyzer wafer diameter.
cdifxas:energyresolution	energyresolution	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/analyzerCRYSTAL:NXcrystal/energy_resolution	energy_resolution	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Energy bandwidth of the crystal analyzer. Existing CDIF concept -- in HERFD it is a property of the analyzer, not the monochromator.
cdifxas:fluorescenceintensity	fluorescenceintensity	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/ifluor:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Fluorescence intensity at the selected emission energy.
cdifxas:incidentintensity	incidentintensity	skos:exactMatch	nxdl:NXxas_herfd/ENTRY:NXentry/INSTRUMENT:NXinstrument/i0:NXdetector/data	data	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Incident beam intensity.
cdifxas:intensityuncertainty	intensityuncertainty	skos:exactMatch	nxdl:NXxas/ENTRY:NXentry/intensity_errors	intensity_errors	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Errors on the spectrum intensity; defined on the base.
