# mapping_set_id: https://w3id.org/cdif/xas/crosswalk/xdi-to-cdifxas
# mapping_set_title: XDI dictionary terms to CDIF XAS concepts (all detection modes)
# mapping_set_description: One of two bindings onto the CDIF XAS concept hub. Subject IRIs are minted under CDIF w3id because the XDI specification defines none. Scope is the transmission slice.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/smrgeoinfo/XAS-CDIF
# creator_id:
#   - orcid:0000-0001-6041-5302
# mapping_tool: crosswalk/build_crosswalk.py
# subject_source: XDI/1.0 dictionary
# object_source: https://w3id.org/cdif/xas/
# curie_map:
#   cdifxas: https://w3id.org/cdif/xas/
#   xdi: https://w3id.org/cdif/xdi/
#   nxdl: https://w3id.org/cdif/nxdl/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	comment
xdi:Detector.I0	Detector.I0	skos:relatedMatch	cdifxas:incidentintensity	incidentintensity	semapv:ManualMappingCuration	0.7	orcid:0000-0001-6041-5302	XDI Detector.I0 describes the detector hardware; the CDIF concept is the measured intensity it produces. Related, not equivalent -- the measured values come from the i0 data column. [converter key: cdi:Detector_I0]
xdi:Detector.I1	Detector.I1	skos:relatedMatch	cdifxas:transmittedintensity	transmittedintensity	semapv:ManualMappingCuration	0.7	orcid:0000-0001-6041-5302	As Detector.I0: describes hardware, not the measured values. [converter key: cdi:Detector_I1]
xdi:Column.energy	Column.energy	skos:exactMatch	cdifxas:monochromatorenergy	monochromatorenergy	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: incident photon energy.
xdi:Column.i0	Column.i0	skos:exactMatch	cdifxas:incidentintensity	incidentintensity	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: incident beam intensity.
xdi:Column.itrans	Column.itrans	skos:exactMatch	cdifxas:transmittedintensity	transmittedintensity	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: transmitted beam intensity.
xdi:Column.irefer	Column.irefer	skos:exactMatch	cdifxas:referenceintensity	referenceintensity	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: reference-channel intensity.
xdi:Column.mutrans	Column.mutrans	skos:exactMatch	cdifxas:absorptioncoefficient	absorptioncoefficient	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: mu(E)t = -ln(itrans/i0).
xdi:Column.ifluor	Column.ifluor	skos:exactMatch	cdifxas:fluorescenceintensity	fluorescenceintensity	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: fluorescence intensity. Present in 32 of the 272 files in the XAS Data Library, and the only thing that distinguishes a fluorescence measurement from a transmission one, since XDI has no detection-mode field.
xdi:Column.mufluor	Column.mufluor	skos:exactMatch	cdifxas:fluorescenceabsorptioncoefficient	fluorescenceabsorptioncoefficient	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: mu(E) derived from the fluorescence channel.
xdi:Column.murefer	Column.murefer	skos:exactMatch	cdifxas:referenceabsorptioncoefficient	referenceabsorptioncoefficient	semapv:ManualMappingCuration	1.0	orcid:0000-0001-6041-5302	Data column: mu(E) derived from the reference channel.
